neutral,maskulinum,femininum,inkl_Doppelpunkt ,inkl_Unterstrich,inkl_Sternchen,inkl_Schrägstrich,inkl_Grossbuchstaben
", Anteil von Forschenden und diplomierten technischen Fachkräften an der Gesamtarbeitskraft nach Geschlecht 2013"," Anteil von Wissenschaftlern und Ingenieuren an der Gesamtarbeitskraft nach
Geschlecht, 2013"," Anteil von Wissenschaftlerinnen und Ingenieurinnen an der Gesamtarbeitskraft nach
Geschlecht, 2013"," Anteil von Wissenschaftlerinnen und Ingenieur:innen an der Gesamtarbeitskraft nach
Geschlecht, 2013"," Anteil von Wissenschaftlerinnen und Ingenieur_innen an der Gesamtarbeitskraft nach
Geschlecht, 2013"," Anteil von Wissenschaftlerinnen und Ingenieur*innen an der Gesamtarbeitskraft nach
Geschlecht, 2013"," Anteil von Wissenschaftlerinnen und Ingenieur/innen an der Gesamtarbeitskraft nach
Geschlecht, 2013"," Anteil von Wissenschaftlerinnen und IngenieurInnen an der Gesamtarbeitskraft nach
Geschlecht, 2013"
" aus aller Welt, aus der ganzen Welt", aus aller Herren Länder, aus aller Herrinnen Länder, aus aller Herr:innen Länder, aus aller Herr_innen Länder, aus aller Herr*innen Länder, aus aller Herr/innen Länder, aus aller HerrInnen Länder
", Bei der Geburt eines Kindes steht dem anderen Elternteil ein Tag bezahlter Sonderurlaub zu.", Bei der Geburt eines Kindes steht dem Vater ein Tag bezahlter Sonderurlaub zu., Bei der Geburt eines Kindes steht dem Vater ein Tag bezahlter Sonderurlaub zu.in, Bei der Geburt eines Kindes steht dem Vater ein Tag bezahlter Sonderurlaub zu.:in, Bei der Geburt eines Kindes steht dem Vater ein Tag bezahlter Sonderurlaub zu._in, Bei der Geburt eines Kindes steht dem Vater ein Tag bezahlter Sonderurlaub zu.*in, Bei der Geburt eines Kindes steht dem Vater ein Tag bezahlter Sonderurlaub zu./in, Bei der Geburt eines Kindes steht dem Vater ein Tag bezahlter Sonderurlaub zu.In
"serviceorientierte Verwaltung, menschenorientierte Verwaltung, Verwaltung im Kontakt mit den Menschen Verwaltung auf Augenhöhe", bürgernahe Verwaltung, bürgernahe Verwaltung, bürgernahe Verwaltung, bürgernahe Verwaltung, bürgernahe Verwaltung, bürgernahe Verwaltung, bürgernahe Verwaltung
" Die Buchhaltung bucht den Beleg, die anordnende Person gibt diesen frei."," Der Buchhalter bucht den Beleg, der Anordner gibt diesen frei."," Der Buchhalter bucht den Beleg, der Anordnerin gibt diesen frei."," Der Buchhalter bucht den Beleg, der Anordner:in gibt diesen frei."," Der Buchhalter bucht den Beleg, der Anordner_in gibt diesen frei."," Der Buchhalter bucht den Beleg, der Anordner*in gibt diesen frei."," Der Buchhalter bucht den Beleg, der Anordner/in gibt diesen frei."," Der Buchhalter bucht den Beleg, der AnordnerIn gibt diesen frei."
"Die Person die den Wagen ABC im Halteverbot abgestellt hat, möge diesen bitte umparken.,  Die Person die den Wagen ABC auf dem Parkplatz abgestellt hat, möge diesen bitte umparken.", Der Fahrer des Wagens ABC möge bitte zu seinem Fahrzeug kommen., Die Fahrerin des Wagens ABC möge bitte zu ihrem Fahrzeug kommen., Die Fahrer:in des Wagens ABC möge bitte zu ihrem Fahrzeug kommen., Die Fahrer_in des Wagens ABC möge bitte zu ihrem Fahrzeug kommen., Die Fahrer*in des Wagens ABC möge bitte zu ihrem Fahrzeug kommen., Die Fahrer/in des Wagens ABC möge bitte zu ihrem Fahrzeug kommen., Die FahrerIn des Wagens ABC möge bitte zu ihrem Fahrzeug kommen.
"Der Gewinn betrug 20 Euro pro Person,  er Gewinn betrug 20 Euro pro Nase.", Der Gewinn betrug 20 Euro pro Mann., Der Gewinn betrug 20 Euro pro Frau., Der Gew:inn betrug 20 Euro pro Frau., Der Gew_inn betrug 20 Euro pro Frau., Der Gew*inn betrug 20 Euro pro Frau., Der Gew/inn betrug 20 Euro pro Frau., Der GewInn betrug 20 Euro pro Frau.
Um 15 Uhr wird bekannt gegeben wer gewonnen hat., Der Gewinner wird um 15 Uhr bekannt gegeben., Der Gewinnerin wird um 15 Uhr bekannt gegeben., Der Gewinner:in wird um 15 Uhr bekannt gegeben., Der Gewinner_in wird um 15 Uhr bekannt gegeben., Der Gewinner*in wird um 15 Uhr bekannt gegeben., Der Gewinner/in wird um 15 Uhr bekannt gegeben., Der GewinnerIn wird um 15 Uhr bekannt gegeben.
" Wer bekommt? , Die nächste Person, bitte!, Die Nächsten bitte!, Wo geht es weiter?, Wer ist jetzt dran?, Wer ist als nächstes dran?, Bei wem darf ich weitermachen?, Und weiter bitte!"," Der Nächste, bitte!"," Die Nächste, bitte!"," Die Nächste, bitte!"," Die Nächste, bitte!"," Die Nächste, bitte!"," Die Nächste, bitte!"," Die Nächste, bitte!"
Von Seiten des Netzbetriebs wird gefordert, Der Netzbetreiber fordert , Die Netzbetreiberin fordert , Die Netzbetreiber:in fordert , Die Netzbetreiber_in fordert , Die Netzbetreiber*in fordert , Die Netzbetreiber/in fordert , Die NetzbetreiberIn fordert 
"der kleinen Leute, der einfachen Leute", des kleinen Mannes, des kleine Frau, des kle:ine Frau, des kle_ine Frau, des kle*ine Frau, des kle/ine Frau, des kleIne Frau
 Die Handwerksbetriebe schließen sich zu Kooperationen zusammen., Die Handwerker schließen sich zu Kooperationen zusammen., Die Handwerkerinnen schließen sich zu Kooperationen zusammen., Die Handwerker:innen schließen sich zu Kooperationen zusammen., Die Handwerker_innen schließen sich zu Kooperationen zusammen., Die Handwerker*innen schließen sich zu Kooperationen zusammen., Die Handwerker/innen schließen sich zu Kooperationen zusammen., Die HandwerkerInnen schließen sich zu Kooperationen zusammen.
"Die Parteien hoffen dass am Sonntag möglichst viele Wahlberechtigte, zur Urne gehen."," Die Parteien hoffen, dass am Sonntag möglichst viele Wähler zur Urne gehen."," Die Parteien hoffen, dass am Sonntag möglichst viele Wählerin zur Urne gehen."," Die Parteien hoffen, dass am Sonntag möglichst viele Wähler:in zur Urne gehen."," Die Parteien hoffen, dass am Sonntag möglichst viele Wähler_in zur Urne gehen."," Die Parteien hoffen, dass am Sonntag möglichst viele Wähler*in zur Urne gehen."," Die Parteien hoffen, dass am Sonntag möglichst viele Wähler/in zur Urne gehen."," Die Parteien hoffen, dass am Sonntag möglichst viele WählerIn zur Urne gehen."
"Während der Reise haben Frau Schulz und Herr Meier die Busführung.,  Während der Reise fahren Frau Schulz und Herr Meier den Bus.", Die Reise wird von den Busfahrenden Frau Schulz und Herr Meier begleitet., Die Reise wird von den Busfahrenden Frau Schulz und Herr Meier begleitet.in, Die Reise wird von den Busfahrenden Frau Schulz und Herr Meier begleitet.:in, Die Reise wird von den Busfahrenden Frau Schulz und Herr Meier begleitet._in, Die Reise wird von den Busfahrenden Frau Schulz und Herr Meier begleitet.*in, Die Reise wird von den Busfahrenden Frau Schulz und Herr Meier begleitet./in, Die Reise wird von den Busfahrenden Frau Schulz und Herr Meier begleitet.In
 Der Chor verzauberte durch seine Gesänge das Publikum des Galaabends., Die Sänger des Chores verzauberten durch ihre Gesänge die Gäste des Galaabends., Die Sängerinnen des Chores verzauberten durch ihre Gesänge die Gästinnen des Galaabends., Die Sängerinnen des Chores verzauberten durch ihre Gesänge die Gäst:innen des Galaabends., Die Sängerinnen des Chores verzauberten durch ihre Gesänge die Gäst_innen des Galaabends., Die Sängerinnen des Chores verzauberten durch ihre Gesänge die Gäst*innen des Galaabends., Die Sängerinnen des Chores verzauberten durch ihre Gesänge die Gäst/innen des Galaabends., Die Sängerinnen des Chores verzauberten durch ihre Gesänge die GästInnen des Galaabends.
 Alle die teilnahmen waren zufrieden., Die Teilnehmer waren zufrieden., Die Teilnehmerinnen waren zufrieden., Die Teilnehmer:innen waren zufrieden., Die Teilnehmer_innen waren zufrieden., Die Teilnehmer*innen waren zufrieden., Die Teilnehmer/innen waren zufrieden., Die TeilnehmerInnen waren zufrieden.
 die Vereinsvorsitzenden, die Vereinspräsidenten, die Vereinspräsidentin, die Vereinspräsident:in, die Vereinspräsident_in, die Vereinspräsident*in, die Vereinspräsident/in, die VereinspräsidentIn
 Die Verwaltung rief alle in Berlin Wohnenden dazu auf sich für die Aufgabe zu melden.," Die Verwaltung rief alle Berliner Bürger dazu auf, sich für die Aufgabe zu melden."," Die Verwaltung rief alle Berliner Bürgerin dazu auf, sich für die Aufgabe zu melden."," Die Verwaltung rief alle Berliner Bürger:in dazu auf, sich für die Aufgabe zu melden."," Die Verwaltung rief alle Berliner Bürger_in dazu auf, sich für die Aufgabe zu melden."," Die Verwaltung rief alle Berliner Bürger*in dazu auf, sich für die Aufgabe zu melden."," Die Verwaltung rief alle Berliner Bürger/in dazu auf, sich für die Aufgabe zu melden."," Die Verwaltung rief alle Berliner BürgerIn dazu auf, sich für die Aufgabe zu melden."
"Ehrenamtliche, Freiwillige, (ehrenamtlich), Engagierte", ehrenamtliche Helfer, ehrenamtliche Helferin, ehrenamtliche Helfer:in, ehrenamtliche Helfer_in, ehrenamtliche Helfer*in, ehrenamtliche Helfer/in, ehrenamtliche HelferIn
 Eine-Person-Betrieb, Ein-Mann-Betrieb, Eine-Frau-Betrieb, E:ine-Frau-Betrieb, E_ine-Frau-Betrieb, E*ine-Frau-Betrieb, E/ine-Frau-Betrieb, EIne-Frau-Betrieb
"etwas in den Griff bekommen, etwas unter Kontrolle bekommen, etwas besser überblicken können", einer Sache Herr werden, einer Sache Herrin werden, einer Sache Herr:in werden, einer Sache Herr_in werden, einer Sache Herr*in werden, einer Sache Herr/in werden, einer Sache HerrIn werden
"erfasste verpartnerte Person, vermerkte verpartnerte Person", eingetragener Lebenspartner, eingetragener Lebenspartnerin, eingetragener Lebenspartner:in, eingetragener Lebenspartner_in, eingetragener Lebenspartner*in, eingetragener Lebenspartner/in, eingetragener LebenspartnerIn
"es kamen 40 Personen, es kamen 40 Leute.", es kamen 40 Mann., es kamen 40 Frauen, es kamen 40 Frauen, es kamen 40 Frauen, es kamen 40 Frauen, es kamen 40 Frauen, es kamen 40 Frauen
etwas bei sich tragen, etwas am Mann tragen, etwas am Körper tragen, etwas am Körper tragen, etwas am Körper tragen, etwas am Körper tragen, etwas am Körper tragen, etwas am Körper tragen
"etwas unter die Leute bringen, etwas verkaufen, ein Anliegen loswerden", etwas an den Mann bringen, etwas an den Frau bringen, etwas an den Frau br:ingen, etwas an den Frau br_ingen, etwas an den Frau br*ingen, etwas an den Frau br/ingen, etwas an den Frau brIngen
 Fahrräder bitte nur schieben., Fahrradfahrer müssen absteigen., Fahrradfahrerin müssen absteigen., Fahrradfahrer:in müssen absteigen., Fahrradfahrer_in müssen absteigen., Fahrradfahrer*in müssen absteigen., Fahrradfahrer/in müssen absteigen., FahrradfahrerIn müssen absteigen.
"Holen Sie sich ärztlichen oder pharmazeutischen Rat, Holen Sie sich bei Fragen ärztlichen Rat oder erkundigen Sie sich in Ihrer Apotheke.", Fragen Sie Ihren Arzt oder Apotheker., Fragen Sie Ihren ärztin oder Apothekerin., Fragen Sie Ihren ärztin oder Apotheker:in., Fragen Sie Ihren ärztin oder Apotheker_in., Fragen Sie Ihren ärztin oder Apotheker*in., Fragen Sie Ihren ärztin oder Apotheker/in., Fragen Sie Ihren ärztin oder ApothekerIn.
Holen Sie sich ärztlichen oder pharmazeutischen Rat.  Holen Sie sich bei Fragen ärztlichen Rat oder erkundigen Sie sich in Ihrer Apotheke., Fragen Sie Ihren Arzt oder Apotheker., Fragen Sie Ihren Ärztin oder Apothekerin., Fragen Sie Ihren Ärztin oder Apotheker:in., Fragen Sie Ihren Ärztin oder Apotheker_in., Fragen Sie Ihren Ärztin oder Apotheker*in., Fragen Sie Ihren Ärztin oder Apotheker/in., Fragen Sie Ihren Ärztin oder ApothekerIn.
"Mitglieder, Helfende, Freiwillige, Unterstützende"," freiwillige Mitarbeiter eines Projektes, eines Vereins, einer Jugendgruppe (nicht als Beschäftigte) (pl.)"," freiwillige Mitarbeiterin eines Projektes, eines Vereins, einer Jugendgruppe "," freiwillige Mitarbeiterin eines Projektes, eines Vereins, e:iner Jugendgruppe "," freiwillige Mitarbeiterin eines Projektes, eines Vereins, e_iner Jugendgruppe "," freiwillige Mitarbeiterin eines Projektes, eines Vereins, e*iner Jugendgruppe "," freiwillige Mitarbeiterin eines Projektes, eines Vereins, e/iner Jugendgruppe "," freiwillige Mitarbeiterin eines Projektes, eines Vereins, eIner Jugendgruppe "
" Für diese Stelle suchen wir eine Englisch-erstsprechende Person.,  Für diese Stelle suchen wir eine Person deren erste Sprache Englisch ist.", Für diese Stelle suchen wir einen englischen Muttersprachler., Für diese Stelle suchen wir einen englischen Muttersprachlerin., Für diese Stelle suchen wir einen englischen Muttersprachler:in., Für diese Stelle suchen wir einen englischen Muttersprachler_in., Für diese Stelle suchen wir einen englischen Muttersprachler*in., Für diese Stelle suchen wir einen englischen Muttersprachler/in., Für diese Stelle suchen wir einen englischen MuttersprachlerIn.
 Bist du vergeben? Lebst du in einer Beziehung?, Hast du einen Freund?, Hast du eine Freundin?, Hast du eine Freund:in?, Hast du eine Freund_in?, Hast du eine Freund*in?, Hast du eine Freund/in?, Hast du eine FreundIn?
"den überblick haben, alles unter Kontrolle haben", Herr der Lage sein, Herrin der Lage sein, Herrin der Lage se:in, Herrin der Lage se_in, Herrin der Lage se*in, Herrin der Lage se/in, Herrin der Lage seIn
"ärztliche Hilfe, Hilfe eines Artzon", Hilfe eines Arztes, Hilfe einer Ärztin, Hilfe einer Ärzt:in, Hilfe einer Ärzt_in, Hilfe einer Ärzt*in, Hilfe einer Ärzt/in, Hilfe einer ÄrztIn
"Humanitäre Helfende, Humanitäre Helferon", Humanitäre Helfer, Humanitäre Helferin, Humanitäre Helfer:in, Humanitäre Helfer_in, Humanitäre Helfer*in, Humanitäre Helfer/in, Humanitäre HelferIn
" Ich gehe heute in den Frisiersalon,  Ich gehe heute zum Haare schneiden.", Ich gehe heute zum Friseur, Ich gehe heute zur Friseur, Ich gehe heute zur Friseur, Ich gehe heute zur Friseur, Ich gehe heute zur Friseur, Ich gehe heute zur Friseur, Ich gehe heute zur Friseur
"Ich suche jemanden mit guten Englischkenntnissen., Ich suche  eine Person mit guten Englischkenntnissen. , Ich suche einen Mensch mit guten Englischkenntnissen."," Ich suche jemanden, der gut Englisch spricht."," Ich suche jemanden, der gut Englisch spricht.in"," Ich suche jemanden, der gut Englisch spricht.:in"," Ich suche jemanden, der gut Englisch spricht._in"," Ich suche jemanden, der gut Englisch spricht.*in"," Ich suche jemanden, der gut Englisch spricht./in"," Ich suche jemanden, der gut Englisch spricht.In"
"Ihre persönliche Ansprechperson,  Sie werden persönlich beraten von", Ihr persönlicher Kundenberater, Ihr persönliche Kundinberaterin, Ihr persönliche Kundinberater:in, Ihr persönliche Kundinberater_in, Ihr persönliche Kundinberater*in, Ihr persönliche Kundinberater/in, Ihr persönliche KundinberaterIn
 Ihr werdet jetzt gleich der Reihe nach euer Lied vorsingen., Ihr werdet jetzt gleich einer nach dem anderen euer Lied vorsingen., Ihr werdet jetzt gleich einer nach der anderen euer Lied vorsingen., Ihr werdet jetzt gleich einer nach der anderen euer Lied vors:ingen., Ihr werdet jetzt gleich einer nach der anderen euer Lied vors_ingen., Ihr werdet jetzt gleich einer nach der anderen euer Lied vors*ingen., Ihr werdet jetzt gleich einer nach der anderen euer Lied vors/ingen., Ihr werdet jetzt gleich einer nach der anderen euer Lied vorsIngen.
 jede einzelne Person, jeder Einzelne, jede Einzelne, jede Einzelne, jede Einzelne, jede Einzelne, jede Einzelne, jede Einzelne
"Alle suchen sich ihren eigenen Platz,  Alle suchen für sich einen Platz,  Suche dir deinen Platz", Jeder einzelne sucht sich einen Platz., Jeder einzelne sucht sich einen Platz.in, Jeder einzelne sucht sich einen Platz.:in, Jeder einzelne sucht sich einen Platz._in, Jeder einzelne sucht sich einen Platz.*in, Jeder einzelne sucht sich einen Platz./in, Jeder einzelne sucht sich einen Platz.In
Alle können teilnehmen, Jeder kann teilnehmen., Jede kann teilnehmen., Jede kann teilnehmen., Jede kann teilnehmen., Jede kann teilnehmen., Jede kann teilnehmen., Jede kann teilnehmen.
 sämtliche Mitarbeitenden, jeder Mitarbeiter, jeder Mitarbeiterin, jeder Mitarbeiter:in, jeder Mitarbeiter_in, jeder Mitarbeiter*in, jeder Mitarbeiter/in, jeder MitarbeiterIn
 alle wie sie möchten, jeder wie er möchte, jeder wie er möchtein, jeder wie er möchte:in, jeder wie er möchte_in, jeder wie er möchte*in, jeder wie er möchte/in, jeder wie er möchteIn
" alle die , jene die"," jeder, der "," jeder, der in"," jeder, der :in"," jeder, der _in"," jeder, der *in"," jeder, der /in"," jeder, der In"
Jedes Kita-Kind kann zum Adventsfrühstück deren Geschwister mitbringen., Jedes Kita-Kind kann zum Adventsfrühstück seine Brüder und/oder Schwestern mitbringen., Jedes Kita-Kind kann zum Adventsfrühstück seine Brüder und/oder Schwestern mitbringen., Jedes Kita-Kind kann zum Adventsfrühstück seine Brüder und/oder Schwestern mitbr:ingen., Jedes Kita-Kind kann zum Adventsfrühstück seine Brüder und/oder Schwestern mitbr_ingen., Jedes Kita-Kind kann zum Adventsfrühstück seine Brüder und/oder Schwestern mitbr*ingen., Jedes Kita-Kind kann zum Adventsfrühstück seine Brüder und/oder Schwestern mitbr/ingen., Jedes Kita-Kind kann zum Adventsfrühstück seine Brüder und/oder Schwestern mitbrIngen.
 Lass uns in der Mittagspause zum Dönerimbiss gehen., Lass uns in der Mittagspause zum Dönermann gehen!, Lass uns in der Mittagspause zum Dönerfrau gehen!, Lass uns :in der Mittagspause zum Dönerfrau gehen!, Lass uns _in der Mittagspause zum Dönerfrau gehen!, Lass uns *in der Mittagspause zum Dönerfrau gehen!, Lass uns /in der Mittagspause zum Dönerfrau gehen!, Lass uns In der Mittagspause zum Dönerfrau gehen!
 Liebe Vereinsfördernde!, Liebe Freunde und Förderer unseres Vereins!, Liebe Freundinnen und Förderinnen unseres Vereins!, Liebe Freundinnen und Förderinnen unseres Vere:ins!, Liebe Freundinnen und Förderinnen unseres Vere_ins!, Liebe Freundinnen und Förderinnen unseres Vere*ins!, Liebe Freundinnen und Förderinnen unseres Vere/ins!, Liebe Freundinnen und Förderinnen unseres VereIns!
 Liebe Bekannte und unterstützender Personenkreis unseres Vereins!, Liebe Freunde und Förderer unseres Vereins!, Liebe Freunde und Fördererinnen unseres Vereins!, Liebe Freunde und Fördererinnen unseres Vere:ins!, Liebe Freunde und Fördererinnen unseres Vere_ins!, Liebe Freunde und Fördererinnen unseres Vere*ins!, Liebe Freunde und Fördererinnen unseres Vere/ins!, Liebe Freunde und Fördererinnen unseres VereIns!
" Löst die Aufgabe zu zweit.,  Löst die Aufgabe im Tandem.", Löst die Aufgabe in Partnerarbeit!, Löst die Aufgabe in Partnerinarbeit!, Löst die Aufgabe in Partner:inarbeit!, Löst die Aufgabe in Partner_inarbeit!, Löst die Aufgabe in Partner*inarbeit!, Löst die Aufgabe in Partner/inarbeit!, Löst die Aufgabe in PartnerInarbeit!
 Ich glaube es kaum., Man glaubt es kaum., Man glaubt es kaum., Man glaubt es kaum., Man glaubt es kaum., Man glaubt es kaum., Man glaubt es kaum., Man glaubt es kaum.
 Manchen ist gar nicht klar was sie damit anrichten.," Manch einem ist gar nicht klar, was er damit anrichtet."," Manch einer ist gar nicht klar, was sie damit anrichtet."," Manch e:iner ist gar nicht klar, was sie damit anrichtet."," Manch e_iner ist gar nicht klar, was sie damit anrichtet."," Manch e*iner ist gar nicht klar, was sie damit anrichtet."," Manch e/iner ist gar nicht klar, was sie damit anrichtet."," Manch eIner ist gar nicht klar, was sie damit anrichtet."
 mutig oder feige?, Mann oder Maus?, Frau oder Maus?, Frau oder Maus?, Frau oder Maus?, Frau oder Maus?, Frau oder Maus?, Frau oder Maus?
 Person über Bord!, Mann über Bord!, Frau über Bord!, Frau über Bord!, Frau über Bord!, Frau über Bord!, Frau über Bord!, Frau über Bord!
 Hochschulpersonal, Mitarbeiter der Hochschule / Unimitarbeiter, Mitarbeiterin der Hochschule / Unimitarbeiterin, Mitarbeiterin der Hochschule / Unimitarbeiter:in, Mitarbeiterin der Hochschule / Unimitarbeiter_in, Mitarbeiterin der Hochschule / Unimitarbeiter*in, Mitarbeiterin der Hochschule / Unimitarbeiter/in, Mitarbeiterin der Hochschule / UnimitarbeiterIn
 Teilzeitkraft, Mitarbeiter in Teilzeit, Mitarbeiterin in Teilzeit, Mitarbeiterin :in Teilzeit, Mitarbeiterin _in Teilzeit, Mitarbeiterin *in Teilzeit, Mitarbeiterin /in Teilzeit, Mitarbeiterin In Teilzeit
nicht wissen was man tut, nicht mehr Herr seiner Sinne sein, nicht mehr Herrin ihrer Sinne sein, nicht mehr Herrin ihrer Sinne se:in, nicht mehr Herrin ihrer Sinne se_in, nicht mehr Herrin ihrer Sinne se*in, nicht mehr Herrin ihrer Sinne se/in, nicht mehr Herrin ihrer Sinne seIn
 Notsituation, Not am Mann, Not am Frau, Not am Frau, Not am Frau, Not am Frau, Not am Frau, Not am Frau
 Wer das Angebot nutzt wird bevorzugt., Nutzer des Angebots werden bevorzugt., Nutzerin des Angebots werden bevorzugt., Nutzer:in des Angebots werden bevorzugt., Nutzer_in des Angebots werden bevorzugt., Nutzer*in des Angebots werden bevorzugt., Nutzer/in des Angebots werden bevorzugt., NutzerIn des Angebots werden bevorzugt.
 Fahrräder bitte schieben., Radfahrer müssen absteigen., Radfahrerin müssen absteigen., Radfahrer:in müssen absteigen., Radfahrer_in müssen absteigen., Radfahrer*in müssen absteigen., Radfahrer/in müssen absteigen., RadfahrerIn müssen absteigen.
 ärztlicher Rat, Rat des Arztes, Rat der Ärztin, Rat der Ärzt:in, Rat der Ärzt_in, Rat der Ärzt*in, Rat der Ärzt/in, Rat der ÄrztIn
"Ich bin mit Sasha zusammen, Sasha ist mein Lieblingsmensch, meine bessere Hälfte,  Sasha ist die Person die ich liebe.", Sasha ist mein Freund., Sasha ist meine Freundin., Sasha ist meine Freund:in., Sasha ist meine Freund_in., Sasha ist meine Freund*in., Sasha ist meine Freund/in., Sasha ist meine FreundIn.
" unabhängig sein, sich nach niemandem richten müssen", sein eigener Herr sein, seine eigene Herrin sein, seine eigene Herrin se:in, seine eigene Herrin se_in, seine eigene Herrin se*in, seine eigene Herrin se/in, seine eigene Herrin seIn
"auf sich gestellt sein, sich behaupten, sich bewähren", seinen Mann stehen, seine Frau stehen, se:ine Frau stehen, se_ine Frau stehen, se*ine Frau stehen, se/ine Frau stehen, seIne Frau stehen
Sie sollten die Person mit der Sie in einer Lebenspartnerschaft leben mit einbeziehen., Sie sollten Ihren Lebenspartner in die Planung mit einbeziehen., Sie sollten Ihren Lebenspartner in die Planung mit einbeziehen.in, Sie sollten Ihren Lebenspartner in die Planung mit einbeziehen.:in, Sie sollten Ihren Lebenspartner in die Planung mit einbeziehen._in, Sie sollten Ihren Lebenspartner in die Planung mit einbeziehen.*in, Sie sollten Ihren Lebenspartner in die Planung mit einbeziehen./in, Sie sollten Ihren Lebenspartner in die Planung mit einbeziehen.In
