neutral,maskulinum,femininum,inkl_Doppelpunkt,inkl_Unterstrich,inkl_Sternchen,inkl_Schrägstrich,inkl_Grossbuchstaben
Ich bin als Administration tätig,Ich bin Administrator,Ich bin Administratorin,Ich bin Administrator:in,Ich bin Administrator_in,Ich bin Administrator*in,Ich bin Administrator/in,Ich bin AdministratorIn
Ohne die Administration wären wir schon längst aufgeschmissen,Ohne die Administratoren wären wir schon längst aufgeschmissen,Ohne die Administratorinnen wären wir schon längst aufgeschmissen,Ohne die Administrator:innen wären wir schon längst aufgeschmissen,Ohne die Administrator_innen wären wir schon längst aufgeschmissen,Ohne die Administrator*innen wären wir schon längst aufgeschmissen,Ohne die Administrator/innen wären wir schon längst aufgeschmissen,Ohne die AdministratorInnen wären wir schon längst aufgeschmissen
Die Nachricht hat mich als adressierte Person,Die Nachricht hat mich als Adressat,Die Nachricht hat mich als Adressatin,Die Nachricht hat mich als Adressat:in,Die Nachricht hat mich als Adressat_in,Die Nachricht hat mich als Adressat*in,Die Nachricht hat mich als Adressat/in,Die Nachricht hat mich als AdressatIn
Jasper steht unter Verdacht eine auskundschaftende Person zu sein,Jasper steht unter Verdacht ein Agent zu sein,Jasper steht unter Verdacht eine Agentin zu sein,Jasper steht unter Verdacht ein:e Agent:in zu sein,Jasper steht unter Verdacht ein_e Agent_in zu sein,Jasper steht unter Verdacht ein*e Agent*in zu sein,Jasper steht unter Verdacht ein/e Agent/in zu sein,Jasper steht unter Verdacht einE AgentIn [Spion] zu sein
"Seit ich als jemanden/etwas vermittelnde Person arbeite, habe ich viel Freude daran zur Arbeit zu gehen",Seit ich als Agent arbeite habe ich viel Freude daran zur Arbeit zu gehen,Seit ich als Agentin arbeite habe ich viel Freude daran zur Arbeit zu gehen.,Seit ich als Agent:in arbeite habe ich viel Freude daran zur Arbeit zu gehen.,Seit ich als Agent_in arbeite habe ich viel Freude daran zur Arbeit zu gehen.,Seit ich als Agent*in arbeite habe ich viel Freude daran zur Arbeit zu gehen.,Seit ich als Agent/in arbeite habe ich viel Freude daran zur Arbeit zu gehen.,Seit ich als AgentIn arbeite habe ich viel Freude daran zur Arbeit zu gehen.
So Jin ist eine studierte Person,So Jin ist ein Akademiker ,So Jin ist eine Akademikerin,So Jin ist ein:e Akademiker:in,So Jin ist ein_e Akademiker_in,So Jin ist ein*e Akademiker*in,So Jin ist ein/e Akademiker/in,So Jin ist einE AkademikerIn
Es gibt viele beteiligte Personen,Es gibt viele Akteure ,Es gibt viele Akteurinnen ,Es gibt viele Akteur:innen ,Es gibt viele Akteur_innen ,Es gibt viele Akteur*innen ,Es gibt viele Akteur/innen ,Es gibt viele AkteurInnen 
Person mit Aktieneigentum ist bei der Bank angestellt,Aktionär XX  ist bei der Bank angestellt,Aktionärin XX ist bei der Bank angestellt,Aktionär:in XX ist bei der Bank angestellt,Aktionär_in XX ist bei der Bank angestellt,Aktionär*in XX ist bei der Bank angestellt,Aktionär/in XX ist bei der Bank angestellt,AktionärIn XX ist bei der Bank angestellt
Das Board ist gefüllt mit Aktien-/Anteilshabenden,Das Board ist gefüllt mit Aktionären,Das Board ist gefüllt mit Aktionärinnen.,Das Board ist gefüllt mit Aktionär:innen.,Das Board ist gefüllt mit Aktionär_innen.,Das Board ist gefüllt mit Aktionär*innen.,Das Board ist gefüllt mit Aktionär/innen.,Das Board ist gefüllt mit AktionärInnen.
An den Unis gibt es immer einen politisch aktiven Menschen.,An den Unis gibt es immer einen Aktivist.,An den Unis gibt es immer eine Aktivistin.,An den Unis gibt es immer ein:e Aktivist:in.,An den Unis gibt es immer ein_e Aktivist_in.,An den Unis gibt es immer ein*e Aktivist*in.,An den Unis gibt es immer ein/e Aktivist/in.,An den Unis gibt es immer einE AktivistIn.
An den Unis gibt es immer mehr als zwei politisch aktive Menschen.,An den Unis gibt es immer mehr als zwei Aktivisten.,An den Unis gibt es immer mehr als zwei Aktivistinnen.,An den Unis gibt es immer mehr als zwei Aktivist:innen.,An den Unis gibt es immer mehr als zwei Aktivist_innen.,An den Unis gibt es immer mehr als zwei Aktivist*innen.,An den Unis gibt es immer mehr als zwei Aktivist/innen.,An den Unis gibt es immer mehr als zwei AktivistInnen.
"Dey ist eine Person mit Alkoholsucht/mit Alkoholabhängigkeit, dey hat sehr früh angefangen und ist abhängig geworden durch das ständige Trinken mit der Arbeitskollegschaft.","Er ist ein Alkoholiker, er hat sehr früh angefangen und ist abhängig geworden durch das ständige Trinken mit Arbeitskollegen","Sie ist ein Alkoholikerin, sie hat sehr früh angefangen und ist abhängig geworden durch das ständige Trinken mit Arbeitskolleginnen","Dey ist ein:e Alkoholiker:in, dey hat sehr früh angefangen und ist abhängig geworden durch das ständige Trinken mit Arbeitskolleg:innen.","Dey ist ein_e Alkoholiker_in, dey hat sehr früh angefangen und ist abhängig geworden durch das ständige Trinken mit Arbeitskolleg_innen.","Dey ist ein*e Alkoholiker*in, dey hat sehr früh angefangen und ist abhängig geworden durch das ständige Trinken mit Arbeitskolleg*innen.","Dey ist ein/e Alkoholiker/in, dey hat sehr früh angefangen und ist abhängig geworden durch das ständige Trinken mit Arbeitskolleg/innen.","Dey ist einE AlkoholikerIn, dey hat sehr früh angefangen und ist abhängig geworden durch das ständige Trinken mit ArbeitskollegInnen."
"Rund ums Kottbusser Tor gibt es viele Menschen mit Alkoholsucht, besonders am Dienstag Abend, dort gibt es einen Treffpunkt für sie","Rund ums Kottbusser Tor gibt es viele Alkoholiker besonders am Dienstag Abend, dort gibt es einen Treffpunkt für sie.","Rund ums Kottbusser Tor gibt es viele Alkoholikerinnen besonders am Dienstag Abend, dort gibt es einen Treffpunkt für sie.","Rund ums Kottbusser Tor gibt es viele Alkoholiker:innen besonders am Dienstag Abend, dort gibt es einen Treffpunkt für sie.","Rund ums Kottbusser Tor gibt es viele Alkoholiker_innen besonders am Dienstag Abend, dort gibt es einen Treffpunkt für sie.","Rund ums Kottbusser Tor gibt es viele Alkoholiker*innen besonders am Dienstag Abend, dort gibt es einen Treffpunkt für sie.","Rund ums Kottbusser Tor gibt es viele Alkoholiker/innen besonders am Dienstag Abend, dort gibt es einen Treffpunkt für sie.","Rund ums Kottbusser Tor gibt es viele AlkoholikerInnen besonders am Dienstag Abend, dort gibt es einen Treffpunkt für sie."
Ich wurde von einer alleinerziehende Person aufgezogen,Ich wurde von einem Alleinerziehenden aufgezogen.,Ich wurde von einer Alleinerziehenden aufgezogen.,Ich wurde von einer alleinerziehenden Person aufgezogen.,Ich wurde von einer alleinerziehenden Person aufgezogen.,Ich wurde von einer alleinerziehenden Person aufgezogen.,Ich wurde von einer alleinerziehenden Person aufgezogen.,Ich wurde von einer alleinerziehenden Person aufgezogen.
Die angebotsstellende Person präsentiert deren Produkte oder Dienstleistungen.,Der Anbieter präsentiert seine Produkte oder Dienstleistungen.,Die Anbieterin präsentiert ihre Produkte oder Dienstleistungen.,Dier Anbieter:in präsentiert ihre Produkte oder Dienstleistungen.,Dier Anbieter_in präsentiert ihre Produkte oder Dienstleistungen.,Dier Anbieter*in präsentiert ihre Produkte oder Dienstleistungen.,Dier Anbieter/in präsentiert ihre Produkte oder Dienstleistungen.,Dier AnbieterIn präsentiert ihre Produkte oder Dienstleistungen.
Das Angebot der anbietenden Person umfasst eine Vielzahl von Produkten,Das Angebot des Anbieter umfasst eine Vielzahl von Produkten,Das Angebot der Anbieterin umfasst eine Vielzahl von Produkten,Das Angebot der Anbieterperson umfasst eine Vielzahl von Produkten,Das Angebot der Anbieterperson umfasst eine Vielzahl von Produkten,Das Angebot der Anbieterperson umfasst eine Vielzahl von Produkten,Das Angebot der Anbieterperson umfasst eine Vielzahl von Produkten,Das Angebot der Anbieterperson umfasst eine Vielzahl von Produkten
Gegenüber respektiert man die Meinungen und Bedürfnisse anderer.,Gegenüber respektiert man die Meinungen und Bedürfnisse anderer.,Gegenüber respektiert man die Meinungen und Bedürfnisse anderer.,Gegenüber respektiert man die Meinungen und Bedürfnisse anderer.,Gegenüber respektiert man die Meinungen und Bedürfnisse anderer.,Gegenüber respektiert man die Meinungen und Bedürfnisse anderer.,Gegenüber respektiert man die Meinungen und Bedürfnisse anderer.,Gegenüber respektiert man die Meinungen und Bedürfnisse anderer.
"Unerfahrene sollten sich nicht scheuen, nach Rat zu fragen.","Anfänger sollten sich nicht scheuen, nach Rat zu fragen.","Anfängerinnen sollten sich nicht scheuen, nach Rat zu fragen.","Anfänger:innen sollten sich nicht scheuen, nach Rat zu fragen.","Anfänger_innen sollten sich nicht scheuen, nach Rat zu fragen.","Anfänger*innen sollten sich nicht scheuen, nach Rat zu fragen.","Anfänger/innen sollten sich nicht scheuen, nach Rat zu fragen.","AnfängerInnen sollten sich nicht scheuen, nach Rat zu fragen."
... Das Angebot richtet sich an Personen mit und ohne Vorkenntnisse.,... Das Angebot richtet sich an Anfänger und Fortgeschrittene.,... Das Angebot richtet sich an Anfängerinnen und Fortgeschrittene.,... Das Angebot richtet sich an Anfänger:innen und Fortgeschrittene.,... Das Angebot richtet sich an Anfänger_innen und Fortgeschrittene.,... Das Angebot richtet sich an Anfänger*innen und Fortgeschrittene.,... Das Angebot richtet sich an Anfänger/innen und Fortgeschrittene.,... Das Angebot richtet sich an AnfängerInnen und Fortgeschrittene.
Die Führung setzt klare Ziele für das Team. ,Der Anführer setzt klare Ziele für das Team. ,Die Anführerin setzt klare Ziele für das Team. ,Dier Anführer:in setzt klare Ziele für das Team. ,Dier Anführer_in setzt klare Ziele für das Team. ,Dier Anführer*in setzt klare Ziele für das Team. ,Dier Anführer/in setzt klare Ziele für das Team. ,Dier AnführerIn setzt klare Ziele für das Team. 
Das Familienmitglied unterstützt deren Liebsten Menschen in schwierigen Zeiten,Der Angehöriger unterstützt deren Liebsten Menschen in schwierigen Zeiten,Die Angehörige unterstützt deren Liebsten Menschen in schwierigen Zeiten,Dier Angehörige unterstützt deren liebsten Menschen in schwierigen Zeiten,Dier Angehörige unterstützt deren liebsten Menschen in schwierigen Zeiten,Dier Angehörige unterstützt deren liebsten Menschen in schwierigen Zeiten,Dier Angehörige unterstützt deren liebsten Menschen in schwierigen Zeiten,Dier Angehörige unterstützt deren liebsten Menschen in schwierigen Zeiten
Dier angeklagte Person bestreitet deren Schuld vehement.,Der Angeklagte bestreitet seine Schuld vehement.,Die Angeklagte bestreitet ihre Schuld vehement.,Dier Angeklagte bestreitet deren Schuld vehement.,Dier Angeklagte bestreitet deren Schuld vehement.,Dier Angeklagte bestreitet deren Schuld vehement.,Dier Angeklagte bestreitet deren Schuld vehement.,Dier Angeklagte bestreitet deren Schuld vehement.
Dey fühlt sich durch die Diskussion persönlich angesprochen.,Er fühlt sich durch die Diskussion persönlich angesprochen.,Sie  fühlt sich durch die Diskussion persönlich angesprochen.,Dey fühlt sich durch die Diskussion persönlich angesprochen.,Dey fühlt sich durch die Diskussion persönlich angesprochen.,Dey fühlt sich durch die Diskussion persönlich angesprochen.,Dey fühlt sich durch die Diskussion persönlich angesprochen.,Dey fühlt sich durch die Diskussion persönlich angesprochen.
Der Angelmensch genießt die Ruhe am Seeufer.,Der Angler genießt die Ruhe am Seeufer.,Die Anglerin genießt die Ruhe am Seeufer.,Dier Angler:in genießt die Ruhe am Seeufer.,Dier Angler_in genießt die Ruhe am Seeufer.,Dier Angler*in genießt die Ruhe am Seeufer.,Dier Angler/in genießt die Ruhe am Seeufer.,Dier AnglerIn genießt die Ruhe am Seeufer.
"Die angreifende Person sollte lernen, deren Wut zu kontrollieren. ","Der Angreifer sollte lernen, seine Wut zu kontrollieren","Die Angreiferin sollte lernen, ihre Wut zu kontrollieren","Dier Angreifer:in sollte lernen, deren Wut zu kontrollieren","Dier Angreifer_in sollte lernen, deren Wut zu kontrollieren","Dier Angreifer*in sollte lernen, deren Wut zu kontrollieren","Dier Angreifer/in sollte lernen, deren Wut zu kontrollieren","Dier AngreiferIn sollte lernen, deren Wut zu kontrollieren"
"Angreifende werden oft von deren eigenen Ängsten getrieben.
",Angreifer werden oft von seinen eigenen Ängsten getrieben.,Angreiferinnen werden oft von ihren eigenen Ängsten getrieben.,Angreifer:innen werden oft von ihren eigenen Ängsten getrieben.,Angreifer_innen werden oft von ihren eigenen Ängsten getrieben.,Angreifer*innen werden oft von ihren eigenen Ängsten getrieben.,Angreifer/innen werden oft von ihren eigenen Ängsten getrieben.,Die AngreiferInnen werden oft von ihren eigenen Ängsten getrieben.
Dier Fan unterstützen deren Team bei jedem Spiel. ,Der Anhänger unterstützen sein Team bei jedem Spiel. ,Die Anhängerin unterstützen ihr Team bei jedem Spiel. ,Die Anhänger:in unterstützen ihr Team bei jedem Spiel. ,Die Anhänger_in unterstützen ihr Team bei jedem Spiel. ,Die Anhänger*in unterstützen ihr Team bei jedem Spiel. ,Die Anhänger/in unterstützen ihr Team bei jedem Spiel. ,Die AnhängerIn unterstützen ihr Team bei jedem Spiel. 
Die anklagende Person erhebt schwere Vorwürfe.,Der Ankläger erhebt schwere Vorwürfe.,Die Anklägerin erhebt schwere Vorwürfe.,Dier Ankläger:in erhebt schwere Vorwürfe.,Dier Ankläger_in erhebt schwere Vorwürfe.,Dier Ankläger*in erhebt schwere Vorwürfe.,Dier Ankläger/in erhebt schwere Vorwürfe.,Die Anklägerin erhebt schwere Vorwürfe.
Die anlegende Person legt großen Wert auf ein gepflegtes Äußeres. ,Der Anleger legt großen Wert auf ein gepflegtes Äußeres. ,Die Anlegerin legt großen Wert auf ein gepflegtes Äußeres. ,Dier Anleger:in legt großen Wert auf ein gepflegtes Äußeres. ,Dier Anleger_in legt großen Wert auf ein gepflegtes Äußeres. ,Dier Anleger*in legt großen Wert auf ein gepflegtes Äußeres. ,Dier Anleger/in legt großen Wert auf ein gepflegtes Äußeres. ,Dier AnlegerIn legt großen Wert auf ein gepflegtes Äußeres. 
"Die anwohnende Person freute sich über neue Baugenehmigungen, damit das Viertel wachsen kann.","Der Anlieger freute sich über neue Baugenehmigungen, damit das Viertel wachsen kann.
","Die Anliegerin freute sich über neue Baugenehmigungen, damit das Viertel wachsen kann.
","Dier Anlieger:in freute sich über neue Baugenehmigungen, damit das Viertel wachsen kann.","Dier Anlieger_in freute sich über neue Baugenehmigungen, damit das Viertel wachsen kann.","Dier Anlieger*in freute sich über neue Baugenehmigungen, damit das Viertel wachsen kann.","Dier Anlieger/in freute sich über neue Baugenehmigungen, damit das Viertel wachsen kann.","Dier AnliegerIn freute sich über neue Baugenehmigungen, damit das Viertel wachsen kann."
Die Anwohnenden der Straße protestierten gegen den geplanten Bau.,Die Anlieger der Straße protestierten gegen den geplanten Bau.,Die Anliegerinnen der Straße protestierten gegen den geplanten Bau.,Die Anlieger:innen der Straße protestierten gegen den geplanten Bau.,Die Anlieger_innen der Straße protestierten gegen den geplanten Bau.,Die Anlieger*innen der Straße protestierten gegen den geplanten Bau.,Die Anlieger/innen der Straße protestierten gegen den geplanten Bau.,Die AnliegerInnen der Straße protestierten gegen den geplanten Bau.
"Die Person, die neben der Baustelle wohnt, wurde über die Lärmbelästigung informiert.",Der Anrainer der Baustelle wurde über die Lärmbelästigung informiert.,Die Anrainerin der Baustelle wurde über die Lärmbelästigung informiert.,Dier Anrainer:in der Baustelle wurde über die Lärmbelästigung informiert.,Dier Anrainer_in der Baustelle wurde über die Lärmbelästigung informiert.,Dier Anrainer*in der Baustelle wurde über die Lärmbelästigung informiert.,Dier Anrainer/in der Baustelle wurde über die Lärmbelästigung informiert.,Dier AnrainerIn der Baustelle wurde über die Lärmbelästigung informiert.
Die anrufende Person meldete einen Notfall.,Der Anrufer meldete einen Notfall.,Die Anruferin meldete einen Notfall.,Dier Anrufer:in meldete einen Notfall.,Dier Anrufer_in meldete einen Notfall.,Dier Anrufer*in meldete einen Notfall.,Dier Anrufer/in meldete einen Notfall.,Dier AnruferIn meldete einen Notfall.
Die Ansprechperson für technische Fragen ist sehr freundlich.,Der Ansprechpartner für technische Fragen ist sehr freundlich.,Die Ansprechpartnerin für technische Fragen ist sehr freundlich.,Dier Ansprechpartner:in für technische Fragen ist sehr freundlich.,Dier Ansprechpartner_in für technische Fragen ist sehr freundlich.,Dier Ansprechpartner*in für technische Fragen ist sehr freundlich.,Dier Ansprechpartner/in für technische Fragen ist sehr freundlich.,Dier AnsprechpartnerIn für technische Fragen ist sehr freundlich.
Die antisemitisch eingestellte Person verbreitete hasserfüllte Ansichten.,Der Antisemit verbreitete hasserfüllte Ansichten.,Die Antisemitin verbreitete hasserfüllte Ansichten.,Dier Antisemit:in verbreitete hasserfüllte Ansichten.,Dier Antisemit_in verbreitete hasserfüllte Ansichten.,Dier Antisemit*in verbreitete hasserfüllte Ansichten.,Dier Antisemit/in verbreitete hasserfüllte Ansichten.,Dier AntisemitIn verbreitete hasserfüllte Ansichten.
Die beantragende Person füllte alle notwendigen Formulare aus.,Der Antragsteller füllte alle notwendigen Formulare aus.,Die Antragstellerin füllte alle notwendigen Formulare aus.,Dier Antragsteller:in füllte alle notwendigen Formulare aus.,Dier Antragsteller_in füllte alle notwendigen Formulare aus.,Dier Antragsteller*in füllte alle notwendigen Formulare aus.,Dier Antragsteller/in füllte alle notwendigen Formulare aus.,AntragstellerIn 
... Sie werden kurz nach Antragstellung benachrichtigt.,... Antragsteller werden in Kürze benachrichtigt.,... Antragstellerinnen werden in Kürze benachrichtigt.,... Antragsteller:innen werden in Kürze benachrichtigt.,... Antragsteller_innen werden in Kürze benachrichtigt.,... Antragsteller*innen werden in Kürze benachrichtigt.,... Antragsteller/innen werden in Kürze benachrichtigt.,... AntragstellerInnen werden in Kürze benachrichtigt.
Die Rechtsvertretung gewann fast alle Prozesse vor Gericht.,Der Anwalt gewann fast alle Prozesse vor Gericht.,Die Anwältin gewann fast alle Prozesse vor Gericht.,Dier Anwält:in gewann fast alle Prozesse vor Gericht.,Dier Anwält_in gewann fast alle Prozesse vor Gericht.,Dier Anwält*in gewann fast alle Prozesse vor Gericht.,Dier Anwält/in gewann fast alle Prozesse vor Gericht.,Dier AnwältIn gewann fast alle Prozesse vor Gericht.
Die anwendende Person der Software war mit der Oberfläche sehr zufrieden.,Der Anwender der Software war mit der Oberfläche sehr zufrieden.,Die Anwenderin der Software war mit der Oberfläche sehr zufrieden.,Dier Anwender:in der Software war mit der Oberfläche sehr zufrieden.,Dier Anwender_in der Software war mit der Oberfläche sehr zufrieden.,Dier Anwender*in der Software war mit der Oberfläche sehr zufrieden.,Dier Anwender/in der Software war mit der Oberfläche sehr zufrieden.,Dier AnwenderIn der Software war mit der Oberfläche sehr zufrieden.
Die Nutzenden der neuen Programme sehnten sich nach den alten zurück.,Die Anwender der neuen Programme sehnten sich nach den alten zurück.,Die Anwenderinnen der neuen Programme sehnten sich nach den alten zurück.,Die Anwender:innen der neuen Programme sehnten sich nach den alten zurück.,Die Anwender_innen der neuen Programme sehnten sich nach den alten zurück.,Die Anwender*innen der neuen Programme sehnten sich nach den alten zurück.,Die Anwender/innen der neuen Programme sehnten sich nach den alten zurück.,Die AnwenderInnen der neuen Programme sehnten sich nach den alten zurück.
Die Schulung war sehr anwendungsbezogen und praktisch.,Die Schulung war sehr anwenderbezogen und praktisch.,Die Schulung war sehr anwenderinbezogen und praktisch.,Die Schulung war sehr anwender:inbezogen und praktisch.,Die Schulung war sehr anwender_inbezogen und praktisch.,Die Schulung war sehr anwender*inbezogen und praktisch.,Die Schulung war sehr anwender/inbezogen und praktisch.,Die Schulung war sehr anwenderInbezogen und praktisch.
Die Anwohnenden beschwerten sich über den Baustellenlärm.,Die Anwohner beschwerten sich über den Baustellenlärm.,Die Anwohnerinnen beschwerten sich über den Baustellenlärm.,Die Anwohner:innen beschwerten sich über den Baustellenlärm.,Die Anwohner_innen beschwerten sich über den Baustellenlärm.,Die Anwohner*innen beschwerten sich über den Baustellenlärm.,Die Anwohner/innen beschwerten sich über den Baustellenlärm.,Die AnwohnerInnen beschwerten sich über den Baustellenlärm.
Die approbierte pharmazeutische Fachkraft beriet kompetent zu den Medikamenten.,Der Apotheker beriet kompetent zu den Medikamenten.,Die Apothekerin beriet kompetent zu den Medikamenten.,Dier Apotheker:in beriet kompetent zu den Medikamenten.,Dier Apotheker_in beriet kompetent zu den Medikamenten.,Dier Apotheker*in beriet kompetent zu den Medikamenten.,Dier Apotheker/in beriet kompetent zu den Medikamenten.,Dier ApothekerIn beriet kompetent zu den Medikamenten.
... Holen Sie sich ärztlichen oder pharmazeutischen Rat. ,... Fragen Sie Ihren Arzt oder Apotheker.,... Fragen Sie Ihre Ärztin oder Apothekerin.,... Fragen Sie Ihre:n Ärzt:in oder Apotheker:in.,... Fragen Sie Ihre_n Ärzt_in oder Apotheker_in.,... Fragen Sie Ihre*n Ärzt*in oder Apotheker*in.,... Fragen Sie Ihre/n Ärzt/in oder Apotheker/in.,... Fragen Sie IhreN ÄrztIn oder ApothekerIn.
Die Arbeitskraft schuftete den ganzen Tag auf der Baustelle.,Der Arbeiter schuftete den ganzen Tag auf der Baustelle.,Die Arbeiterin schuftete den ganzen Tag auf der Baustelle.,Dier Arbeiter:in schuftete den ganzen Tag auf der Baustelle.,Dier Arbeiter_in schuftete den ganzen Tag auf der Baustelle.,Dier Arbeiter*in schuftete den ganzen Tag auf der Baustelle.,Dier Arbeiter/in schuftete den ganzen Tag auf der Baustelle.,Dier ArbeiterIn schuftete den ganzen Tag auf der Baustelle.
"Die Beschäftigten legten eine Pause ein, um sich zu stärken.","Die Arbeiter legten eine Pause ein, um sich zu stärken.","Die Arbeiterinnen legten eine Pause ein, um sich zu stärken.","Die Arbeiter:innen legten eine Pause ein, um sich zu stärken.","Die Arbeiter_innen legten eine Pause ein, um sich zu stärken.","Die Arbeiter*innen legten eine Pause ein, um sich zu stärken.","Die Arbeiter/innen legten eine Pause ein, um sich zu stärken.","Die ArbeiterInnen legten eine Pause ein, um sich zu stärken."
"Mein Elternteil hat kommt von der arbeitenden Klasse. Ich bin die erste Person, die studiert hat in der Familie.",Mein Elternteil hat kommt von der Arbeiterklasse. Ich bin die erste Person die studiert hat in der Familie,Mein Elternteil hat kommt von der Arbeiterinklasse. Ich bin die erste Person die studiert hat in der Familie,"Mein Elternteil kommt von der Arbeiter:inklasse. Ich bin die erste Person, die studiert hat in der Familie","Mein Elternteil kommt von der Arbeiter_inklasse. Ich bin die erste Person, die studiert hat in der Familie","Mein Elternteil kommt von der Arbeiter*inklasse. Ich bin die erste Person, die studiert hat in der Familie","Mein Elternteil kommt von der Arbeiter/inklasse. Ich bin die erste Person, die studiert hat in der Familie","Mein Elternteil kommt von der ArbeiterInklasse. Ich bin die erste Person, die studiert hat in der Familie"
Die Arbeitsstelle bietet ihren Angestellten flexible Arbeitszeiten an.,Der Arbeitgeber bietet seinen Angestellten flexible Arbeitszeiten an.,Die Arbeitgeberin bietet ihren Angestellten flexible Arbeitszeiten an.,Dier Arbeitgeber:in bietet deren Angestellten flexible Arbeitszeiten an.,Dier Arbeitgeber_in bietet deren Angestellten flexible Arbeitszeiten an.,Dier Arbeitgeber*in bietet deren Angestellten flexible Arbeitszeiten an.,Dier Arbeitgeber/in bietet deren Angestellten flexible Arbeitszeiten an.,Dier ArbeitgeberIn bietet deren Angestellten flexible Arbeitszeiten an.
